33,PORTFOLIO,,,,,,,,,,,,,,,,,,,,Actualización: ,20/4/2026 10:48:07,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,IOL,IOL,,,,
,,,,,,,Total Investment,Portfolio Value,Profit (USD),Profit (%),,,,,,,,,,,Dolar MEP,Dolar CCL,,,,
,Estados Unidos,Financieros,COINBASE GLOBAL INC  ,COIN,183,$   12.001,"USD  9,66",$   2.196.113,"USD  1.767,20",$   11.010,"USD  7,82","-1,16%","-0,83%",$   2.014.830,"USD  1.431,06",-$   181.283,"-USD  336,14","-8,25%","-19,02%",,"204,68","-0,45%",USD  1.453,"-0,23%","11,92%",
,Estados Unidos,,IShares Ethereum Trust,ETHA,209,$   7.102,"USD  5,42",$   1.484.363,"USD  1.133,10",$   5.080,"USD  3,61","-5,04%","-4,71%",$   1.061.720,"USD  754,10",-$   422.643,"-USD  379,00","-28,47%","-33,45%",,"17,47","-5,47%",USD  1.456,"-0,05%","6,28%",
,Estados Unidos,,HUT 8 MINING CORP.,HUT,9,$   129.372,"USD  108,24",$   1.164.344,"USD  974,20",$   546.000,"USD  387,81","0,28%","0,61%",$   4.914.000,"USD  3.490,25",$   3.749.656,"USD  2.516,05","322,04%","258,27%",,75,"0,07%",USD  1.452,"-0,30%","29,06%",
,Estados Unidos,,IShares Bitcoin Trust,IBIT,120,$   8.081,"USD  5,89",$   969.683,"USD  706,80",$   6.210,"USD  4,41","-2,81%","-2,48%",$   745.200,"USD  529,29",-$   224.483,"-USD  177,51","-23,15%","-25,11%",,"42,87","-2,87%",USD  1.448,"-0,58%","4,41%",
,Estados Unidos,,KEELARM LTD,KEEL,147,$   15.754,"USD  12,53",$   2.315.862,"USD  1.842,53",$   20.800,"USD  14,77","-0,81%","-0,48%",$   3.057.600,"USD  2.171,71",$   741.738,"USD  329,17","32,03%","17,87%",,"2,9","1,04%",USD  1.434,"-1,50%","18,08%",
,Estados Unidos,,MICROSTRATEGY INC  ,MSTR,211,$   17.533,"USD  14,19",$   3.699.454,"USD  2.995,00",$   12.020,"USD  8,54","-0,90%","-0,57%",$   2.536.220,"USD  1.801,39",-$   1.163.234,"-USD  1.193,61","-31,44%","-39,85%",,"163,54","-0,23%",USD  1.470,"0,94%","15,00%",
,Estados Unidos,,RIOT PLATFORMS INC,RIOT,296,$   4.806,"USD  4,07",$   1.422.484,"USD  1.205,23",$   8.715,"USD  6,19","-1,02%","-0,69%",$   2.579.640,"USD  1.832,23",$   1.157.156,"USD  627,00","81,35%","52,02%",,"18,13","0,22%",USD  1.440,"-1,14%","15,26%",
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,TOTAL,,,,,,"USD  10.624,06",,,,,"$   16.909.210,00","USD  12.010,03",,"USD  1.385,97",,,,,,,,"100,00%",
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Total Investment,Portfolio Value,Profit (USD),Profit (%),,,,,,,,,,,,,,,,
,ACCIONES,,,,,,"USD  1.399,13","USD  1.222,41","-USD  176,71","-12,63%",,,,,,,,,,,,,,,,
,RENTA VARIABLE,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Location,Industry,Company,Ticker,Shares,PPC Acción,PPC USD,Invest ($),Invest (USD),PA Acción,PA USD,TDY Change,TDY Change USD,Portf. Value ($),Capital (USD),Dif. ($),Dif. (USD),Dif. % ($),Rend. % (USD),,DPT,TDY ADR (%),,,% Cartera,
,Argentina,Financieros,A3 Mercados S.A.,A3,150,$   3.330,"USD  2,28",$   499.500,"USD  341,52","$   2.910,0","USD  2,07","-2,83%","-2,50%",$   436.500,"USD  310,03",-$   63.000,"-USD  31,49","-12,61%","-9,22%",,,,,,"25,36%",
,Argentina,Fabricación de productos,Dist Gas Cuyana,DGCU2,60,$   1.700,"USD  1,20",$   102.000,"USD  72,00","$   1.665,0","USD  1,18","0,60%","0,93%",$   99.900,"USD  70,96",-$   2.100,"-USD  1,04","-2,06%","-1,45%",,,,,,"5,80%",
,Argentina,Financieros,Ecogas Inversiones S.A.,ECOG,80,$   2.901,"USD  2,37",$   232.100,"USD  189,30","$   2.967,5","USD  2,11","-1,42%","-1,09%",$   237.400,"USD  177,62",$   5.300,"-USD  11,69","2,28%","-6,17%",,,,,"USD  9,00","14,53%",
,Argentina,Energía,Naturgy BAN SA,GBAN,100,$   1.820,"USD  1,55",$   182.000,"USD  155,19",$   2.020,"USD  1,43","-0,73%","-0,40%",$   202.000,"USD  143,47",$   20.000,"-USD  11,72","10,99%","-7,55%",,,,,,"11,74%",
,Argentina,Agropecuario,Inversora Juramento SA,INVJ,550,$   619,"USD  0,42",$   340.500,"USD  232,59",$   483,"USD  0,34","2,54%","2,87%",$   265.650,"USD  188,68",-$   74.850,"-USD  43,90","-21,98%","-18,88%",,,,,,"15,44%",
,Argentina,Industrial (Cementos),Loma Negra Compania Indstrl Argentina SA,LOMA,30,$   3.720,"USD  2,54",$   111.600,"USD  76,14",$   3.360,"USD  2,39","-1,03%","-0,70%",$   100.800,"USD  71,59",-$   10.800,"-USD  4,54","-9,68%","-5,97%",,,,,,"5,86%",
,Argentina,Financieros,Grupo Supervielle SA,SUPV,131,$   3.100,"USD  2,54",$   406.130,"USD  332,39",$   2.795,"USD  1,99","-2,27%","-1,94%",$   366.145,"USD  260,06",-$   39.985,"-USD  72,33","-9,85%","-21,76%",#N/A,,,,,"21,27%",
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,TOTAL,,,,,,"USD  1.399,13",,,,,"$   1.708.395,00","USD  1.222,41",,"-USD  176,71",,,,,,,,"100,00%",
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Total Investment,Portfolio Value,Profit (USD),Profit (%),,,,,,,,,,,,,,,,
,BONOS,,,,,,"USD  2.517,07","USD  2.578,63","USD  61,56","2,45%",,,,,,,,,,,,,,,,
,RENTA FIJA,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Location,Industry,Título Público,Ticker,Shares,PPC BONOS,PPC USD,Invest ($),Invest (USD),PA BONOS,PA USD,TDY Change,TDY Change USD,Portf. Value ($),Capital (USD),Dif. ($),Dif. (USD),Dif. % ($),Rend. % (USD),TIR (%),DPT,TDY Bonos D (%),TNA,I+A,Fecha Vto.,% Cartera
